word,sentiment
gampang,positive
ganteng,positive
gapai,positive
gegap gempita,positive
gemilang,positive
genius,positive
genjot,positive
giat,positive
gigih,positive
gilang-gemilang,positive
gotong-royong,positive
gratis,positive
gunanya,positive
hadiah,positive
hak mutlak,positive
hakikat,positive
hakiki,positive
halal,positive
halal bihalal,positive
halalbihalal,positive
handal,positive
happy,positive
harapan,positive
harapkan,positive
harmoni,positive
harmonis,positive
harmonisasi,positive
hebat,positive
heroik,positive
hibah,positive
hibur,positive
hidayah,positive
hidmat,positive
hidup,positive
higienis,positive
hikmah,positive
hits,positive
hoki,positive
hore,positive
hormat,positive
hormat-menghormati,positive
hormati,positive
humoris,positive
husnul khatimah,positive
ibadah,positive
ideal,positive
ihsan,positive
ihtiar,positive
ijtihad,positive
ikhlas,positive
ikhtiar,positive
iktikad,positive
ilmiah,positive
iman,positive
impresif,positive
imut-imut,positive
indah,positive
informatif,positive
inisiatif,positive
inovasi,positive
inovatif,positive
inovator,positive
insaf,positive
insan,positive
insan kamil,positive
insentif,positive
inspirasi,positive
insya allah,positive
integritas,positive
intelek,positive
intelektual,positive
inteligensi,positive
inteligensia,positive
intensif,positive
irit,positive
islami,positive
istikharah,positive
istimewa,positive
istiqamah,positive
itikad,positive
itikaf,positive
izin,positive
jago,positive
jagoan,positive
jangan dulu,positive
jawaban,positive
jelas,positive
jelaskan,positive
jempolan,positive
jenius,positive
juara,positive
jujur,positive
kagum,positive
kaji,positive
kamil,positive
kampiun,positive
kapabel,positive
karib,positive
karisma,positive
karismatik,positive
karunia,positive
kasih,positive
keakraban,positive
keanggunan,positive
kebaikan,positive
kebajikan,positive
kebanggaan,positive
kebenaran,positive
keberhasilan,positive
kebersamaan,positive
keberuntungan,positive
kebulatan suara,positive
kebulatan tekad,positive
kecakapan,positive
kecekatan,positive
kecemerlangan,positive
keelokan,positive
kegemilangan,positive
kegeniusan,positive
kegigihan,positive
kehebatan,positive
kehormatan,positive
keikhlasan,positive
keindahan,positive
keistimewaan,positive
kejayaan,positive
kejelasan,positive
kejeniusan,positive
kejujuran,positive
kekaguman,positive
kekeluargaan,positive
kekhidmatan,positive
kekhusukan,positive
kekhusyukan,positive
kelancaran,positive
kelapangan,positive
kelebihan,positive
kelembutan,positive
kelezatan,positive
kemajuan,positive
kemakmuran,positive
kemampuan,positive
kemandirian,positive
kemantapan,positive
kemenangan,positive
kemeriahan,positive
kemudahan,positive
kemuliaan,positive
kenikmatan,positive
kenyamanan,positive
kepedulian,positive
kepercayaan,positive
keramahan,positive
keren,positive
keridaan,positive
keridhaan,positive
keridhoan,positive
keridoan,positive
kerja,positive
kerukunan,positive
kesabaran,positive
kesanggupan,positive
keselarasan,positive
kesepakatan,positive
kesesuaian,positive
keshalehan,positive
kesinambungan,positive
kesopanan,positive
kesuksesan,positive
ketaatan,positive
ketabahan,positive
ketawakalan,positive
ketegarab,positive
ketekunan,positive
keteladanan,positive
ketenangan,positive
ketentraman,positive
keterbukaan,positive
ketertiban,positive
keunggulan,positive
keuntungan,positive
kewajiban,positive
kewenangan,positive
keyakinan,positive
kharisma,positive
kharismatik,positive
khidmat,positive
khusyuk,positive
klarifikasi,positive
kokoh,positive
kolaborasi,positive
komersial,positive
komfortabel,positive
komitmen,positive
kompak,positive
kompatibel,positive
kompeten,positive
kompetensi,positive
komplet,positive
komprehensif,positive
komunikasi,positive
komunikatif,positive
kondusif,positive
konfirmasi,positive
konform,positive
konkret,positive
konsisten,positive
konsistensi,positive
konstan,positive
kontinu,positive
kooperatif,positive
koordinasi,positive
kreasi,positive
kreatif,positive
kreativitas,positive
kuat,positive
lailatul kadar,positive
lailatul qadar,positive
lailatulkadar,positive
lailatulqadar,positive
lancar,positive
langgeng,positive
langsing,positive
laporkan,positive
layak,positive
lega,positive
legal,positive
legendaris,positive
leluasa,positive
lembut,positive
lerai,positive
lezat,positive
lincah,positive
logis,positive
lolos,positive
loyal,positive
loyalitas,positive
luar biasa,positive
lucu,positive
luhur,positive
lulus,positive
lunas,positive
luwes,positive
mabrur,positive
mahir,positive
maju,positive
makan,positive
makmur,positive
mampu,positive
mandiri,positive
manfaat,positive
manjur,positive
mantap,positive
masuk akal,positive
masukan,positive
masyhur,positive
megah,positive
melancarkan,positive
melanggengkan,positive
melapangkan,positive
melaporkan,positive
melegakan,positive
melerai,positive
meleraikan,positive
melestarikan,positive
melezatkan,positive
melindungi,positive
meluhurkan,positive
melunasi,positive
meluruskan,positive
memaafkan,positive
memadai,positive
memahami,positive
memajukan,positive
memakmurkan,positive
memantapkan,positive
mematuhi,positive
membaguskan,positive
membahagiakan,positive
membaik,positive
membalas budi,positive
membanggakan,positive
membangkitkan,positive
membangun,positive
membantu,positive
membawa revolusi,positive
membenahi,positive
memberbaiki,positive
memberdayakan,positive
memberi kesempatan,positive
memberikan kesempatan,positive
membesarkan,positive
membetulkan,positive
membulatkan hati,positive
membulatkan tekad,positive
memenagkan,positive
memenangkan,positive
memenuhi,positive
memenuhi persyaratan,positive
memerdekakan,positive
memopulerkan,positive
memotivasi,positive
memperaman,positive
memperbagus,positive
memperbaiki,positive
memperbantukan,positive
memperbarui,positive
mempercanggih,positive
mempercantik,positive
mempercerdas,positive
memperdamai,positive
mempererat,positive
memperhatikan,positive
memperindah,positive
memperlancar,positive
memperlapang,positive
mempermudah,positive
mempersatukan,positive
mempersiapkan,positive
mempersolid,positive
mempersukses,positive
mempertampan,positive
mempertemukan,positive
mempertimbangkan,positive
memuaskan,positive
memudahkan,positive
memuji,positive
memukau,positive
memuliakan,positive
memulihkan,positive
memurnikan,positive
memusyawarahkan,positive
menaati,positive
menakjubkan,positive
menang,positive
menarik,positive
menauladani,positive
mencerahkan,positive
mencerdaskan,positive
menceriakan,positive
mendamaikan,positive
mendapat tempat,positive
mendayagunakan,positive
mendayaupayakan,positive
mendonasikan,positive
mendonorkan,positive
